A,B,jaccard,agreement
F_LOCATION_SCORE,F_REACTION_SCORE,0.5049206612484105,0.5049206612484105
F_LOCATION_SCORE,F_TOTAL_EVIDENCE,0.4205952788231269,0.5318184331287665
F_LOCATION_SCORE,F_GOOD_LOCATION,0.56461253451711,0.6556642892685354
F_LOCATION_SCORE,F_ALIGNED_ACTIVE,0.4643595041322314,0.4839940288605075
F_LOCATION_SCORE,F_HTF_SUPPORT,0.3564347347163576,0.4185602919223752
F_LOCATION_SCORE,F_NO_HTF_CONTRA,0.6494623053657443,0.6539779952452037
F_LOCATION_SCORE,F_FALSE_REV_LOW,0.7181040923051382,0.7183612539392934
F_LOCATION_SCORE,F_REVERSAL_STRONG,0.5055391432791728,0.5558135677558468
F_LOCATION_SCORE,F_NO_PULLBACK,0.724224736507234,0.7244153259246973
F_LOCATION_SCORE,F_HTF_LTF_AGREE,0.6809156870465155,0.6863493116603085
F_LOCATION_SCORE,F_CT_LOW,0.7908718969425554,0.7908718969425554
F_LOCATION_SCORE,F_M15_NOT_NEUTRAL,0.617103642442372,0.6390777906783878
F_LOCATION_SCORE,F_M5_TRENDING,0.2693913703656839,0.3615303809365843
F_LOCATION_SCORE,F_M5_DIRECTION_ALIGN,0.22338630067191032,0.32581412063913306
F_LOCATION_SCORE,F_MARKET_REVERSAL,0.33010065879677625,0.4462321004036048
F_LOCATION_SCORE,F_CONF_HIGH,0.575618983089128,0.5844529219881683
F_LOCATION_SCORE,F_SB_WINDOW,0.11497001953782927,0.27370487090175266
F_LOCATION_SCORE,F_RTH,0.23938211486987648,0.34798474042129707
F_REACTION_SCORE,F_TOTAL_EVIDENCE,0.3387119065717642,0.47091833913860787
F_REACTION_SCORE,F_GOOD_LOCATION,0.2588983177906384,0.3167744789075026
F_REACTION_SCORE,F_ALIGNED_ACTIVE,0.5028186999719687,0.5587162050091226
F_REACTION_SCORE,F_HTF_SUPPORT,0.3609327918249705,0.4606070658483994
F_REACTION_SCORE,F_NO_HTF_CONTRA,0.6195780785547315,0.6355946259744568
F_REACTION_SCORE,F_FALSE_REV_LOW,0.685516183115001,0.6940620335047272
F_REACTION_SCORE,F_REVERSAL_STRONG,0.47362202209874177,0.544341239564328
F_REACTION_SCORE,F_NO_PULLBACK,0.6876859855462661,0.6953613092276221
F_REACTION_SCORE,F_HTF_LTF_AGREE,0.6462822808943325,0.661497207939404
F_REACTION_SCORE,F_CT_LOW,0.7140487643058551,0.7140487643058551
F_REACTION_SCORE,F_M15_NOT_NEUTRAL,0.5652108928945088,0.5979156300105047
F_REACTION_SCORE,F_M5_TRENDING,0.28550285674950093,0.4261347929452093
F_REACTION_SCORE,F_M5_DIRECTION_ALIGN,0.24173373750043553,0.39838005197102894
F_REACTION_SCORE,F_MARKET_REVERSAL,0.2752499138228197,0.41878144523691047
F_REACTION_SCORE,F_CONF_HIGH,0.5779748266730146,0.6079228174932272
F_REACTION_SCORE,F_SB_WINDOW,0.12254720473898556,0.34483330568916903
F_REACTION_SCORE,F_RTH,0.26138333628162036,0.4228727815558136
F_TOTAL_EVIDENCE,F_GOOD_LOCATION,0.39978811518828855,0.6554431359540001
F_TOTAL_EVIDENCE,F_ALIGNED_ACTIVE,0.2888824044353662,0.46104937247747
F_TOTAL_EVIDENCE,F_HTF_SUPPORT,0.2863046310021111,0.5607618731685741
F_TOTAL_EVIDENCE,F_NO_HTF_CONTRA,0.36720356950729405,0.44719964615469676
F_TOTAL_EVIDENCE,F_FALSE_REV_LOW,0.3386417402342623,0.36628517719909326
F_TOTAL_EVIDENCE,F_REVERSAL_STRONG,0.27278994944078444,0.4751478962790955
F_TOTAL_EVIDENCE,F_NO_PULLBACK,0.33966275028008386,0.3645435948471278
F_TOTAL_EVIDENCE,F_HTF_LTF_AGREE,0.31581932710391974,0.36645104218499475
F_TOTAL_EVIDENCE,F_CT_LOW,0.35702438215292753,0.35702438215292753
F_TOTAL_EVIDENCE,F_M15_NOT_NEUTRAL,0.3175456762082902,0.4351744346768397
F_TOTAL_EVIDENCE,F_M5_TRENDING,0.2390466531440162,0.5851716702604081
F_TOTAL_EVIDENCE,F_M5_DIRECTION_ALIGN,0.25456854193120965,0.6267484933930447
F_TOTAL_EVIDENCE,F_MARKET_REVERSAL,0.19019375247133255,0.5470780118317023
F_TOTAL_EVIDENCE,F_CONF_HIGH,0.3367989603119064,0.44982584176480345
F_TOTAL_EVIDENCE,F_SB_WINDOW,0.10655477144128679,0.6115165588544258
F_TOTAL_EVIDENCE,F_RTH,0.19047120418848168,0.5725659313318958
