MODEL,N,AvgR,PF,TotalR,MaxDD,WinRate,MAE,MFE,MFE_Capture,AvgHold
M0_Control,1135,1.6483731365801972,17.77573512839063,1870.9035100185238,8.38599731970504,0.866079295154185,0.18910343531856463,0.2708351648670746,,
Stop_S3,1135,-0.00025038700242468824,0.9996301097426032,-0.28418924775202115,78.79916441821568,0.32863436123348017,0.9755356792595776,1.3683025988224327,,
Fixed_Target,1135,0.3509909452824319,3.8907091642948686,398.37472289556024,12.721714490821398,0.6854625550660793,0.22517242120642705,0.29585934765603805,86.14910021891572,35.884581497797356
Break_Even,1135,1.6343028911282018,20.369520707139458,1854.933781430509,7.373476752519878,0.8854625550660793,0.17648528825967746,0.2446750009436703,606.4745552632123,11.161233480176211
Partials,1135,1.6323052048490345,18.049728446597758,1852.6664075036542,8.38599731970504,0.8696035242290749,0.18910343531856463,0.2708351648670746,606.4676470514761,12.103083700440529
Opposite_BOS,1135,1.6363556544404332,18.739098571334498,1857.2636677898915,7.303966017457242,0.8722466960352423,0.18274804141677517,0.2493078873188242,606.4705990372303,11.303083700440528
Time_Exit,1135,1.6454788624654215,17.678001498199578,1867.6185088982534,8.38599731970504,0.866079295154185,0.18910343531856463,0.2703444972708631,606.4678096852343,12.042290748898678
Stagnation,1135,1.558414832511274,21.778400315410117,1768.8008349002962,9.519122187486573,0.8405286343612335,0.14681160705271817,0.21885322931214293,606.4014825629577,6.406167400881057
Profit_Lock,1135,1.6391733783109756,18.28294230532961,1860.4617843829574,8.38599731970504,0.8687224669603524,0.18750056737200307,0.25668601157145293,606.4702782219308,11.940088105726872
Structure_Target,1135,0.4186533018519175,4.525212676636847,475.1714976019264,14.261784234694659,0.6898678414096916,0.2229628258723378,0.2848034613446741,86.21064074360872,35.074008810572685
INV_15M,1135,1.635477639669529,21.947673604019542,1856.2671210249155,4.02478954876625,0.8519823788546256,0.15139168571634193,0.22822715136347058,606.554331869821,9.237885462555067
Trailing,1135,1.6337377473126709,18.918296022063984,1854.2923431998813,7.243521900011501,0.8740088105726872,0.18237665832363759,0.239097767778795,-0.3181201850489814,11.059911894273128
