timestamp_utc,market_timestamp,signal_id,symbol,state_before,state_after,pine_event,pine_direction,pine_signal_price,pine_atr,current_price,current_atr,position,entry_price,stop_price,target_price,current_R,MFE_R,MAE_R,bars_in_trade,minutes_in_trade,market_data_health,action,reason_code,order_id,order_action,order_status,fill_price,latency_ms
2026-09-03T03:12:40.424785+00:00,2026-08-30T17:01:00+00:00,,NQ,FLAT,FLAT,,,,,20000.0,0.0,FLAT,,,,,,,0,0.0,DATA_HEALTHY,WATCH,bar,,,,,
2026-09-03T03:12:40.425199+00:00,2026-08-30T17:02:00+00:00,,NQ,FLAT,FLAT,,,,,20002.5,0.0,FLAT,,,,,,,0,0.0,DATA_HEALTHY,WATCH,bar,,,,,
2026-09-03T03:12:40.425400+00:00,2026-08-30T17:03:00+00:00,,NQ,FLAT,FLAT,,,,,20000.0,0.0,FLAT,,,,,,,0,0.0,DATA_HEALTHY,WATCH,bar,,,,,
2026-09-03T03:12:40.425590+00:00,2026-08-30T17:04:00+00:00,,NQ,FLAT,FLAT,,,,,20002.5,0.0,FLAT,,,,,,,0,0.0,DATA_HEALTHY,WATCH,bar,,,,,
2026-09-03T03:12:40.425984+00:00,2026-08-30T17:05:00+00:00,,NQ,FLAT,FLAT,,,,,20000.0,0.0,FLAT,,,,,,,0,0.0,DATA_HEALTHY,WATCH,bar,,,,,
2026-09-03T03:12:40.426207+00:00,2026-08-30T17:06:00+00:00,,NQ,FLAT,FLAT,,,,,20002.5,0.0,FLAT,,,,,,,0,0.0,DATA_HEALTHY,WATCH,bar,,,,,
2026-09-03T03:12:40.426415+00:00,2026-08-30T17:07:00+00:00,,NQ,FLAT,FLAT,,,,,20000.0,0.0,FLAT,,,,,,,0,0.0,DATA_HEALTHY,WATCH,bar,,,,,
2026-09-03T03:12:40.426631+00:00,2026-08-30T17:08:00+00:00,,NQ,FLAT,FLAT,,,,,20002.5,0.0,FLAT,,,,,,,0,0.0,DATA_HEALTHY,WATCH,bar,,,,,
2026-09-03T03:12:40.426806+00:00,2026-08-30T17:09:00+00:00,,NQ,FLAT,FLAT,,,,,20000.0,0.0,FLAT,,,,,,,0,0.0,DATA_HEALTHY,WATCH,bar,,,,,
2026-09-03T03:12:40.426983+00:00,2026-08-30T17:10:00+00:00,,NQ,FLAT,FLAT,,,,,20002.5,0.0,FLAT,,,,,,,0,0.0,DATA_HEALTHY,WATCH,bar,,,,,
2026-09-03T03:12:40.427152+00:00,2026-08-30T17:11:00+00:00,,NQ,FLAT,FLAT,,,,,20000.0,0.0,FLAT,,,,,,,0,0.0,DATA_HEALTHY,WATCH,bar,,,,,
2026-09-03T03:12:40.427318+00:00,2026-08-30T17:12:00+00:00,,NQ,FLAT,FLAT,,,,,20002.5,0.0,FLAT,,,,,,,0,0.0,DATA_HEALTHY,WATCH,bar,,,,,
2026-09-03T03:12:40.427486+00:00,2026-08-30T17:13:00+00:00,,NQ,FLAT,FLAT,,,,,20000.0,0.0,FLAT,,,,,,,0,0.0,DATA_HEALTHY,WATCH,bar,,,,,
2026-09-03T03:12:40.427679+00:00,2026-08-30T17:14:00+00:00,,NQ,FLAT,FLAT,,,,,20002.5,4.5,FLAT,,,,,,,0,0.0,DATA_HEALTHY,WATCH,bar,,,,,
2026-09-03T03:12:40.427874+00:00,2026-08-30T17:15:00+00:00,,NQ,FLAT,FLAT,,,,,20000.0,4.5,FLAT,,,,,,,0,0.0,DATA_HEALTHY,WATCH,bar,,,,,
2026-09-03T03:12:40.428054+00:00,2026-08-30T17:16:00+00:00,,NQ,FLAT,FLAT,,,,,20002.5,4.5,FLAT,,,,,,,0,0.0,DATA_HEALTHY,WATCH,bar,,,,,
2026-09-03T03:12:40.428874+00:00,2026-08-30T17:17:00+00:00,,NQ,FLAT,FLAT,,,,,20000.0,4.5,FLAT,,,,,,,0,0.0,DATA_HEALTHY,WATCH,bar,,,,,
2026-09-03T03:12:40.429059+00:00,2026-08-30T17:18:00+00:00,,NQ,FLAT,FLAT,,,,,20002.5,4.5,FLAT,,,,,,,0,0.0,DATA_HEALTHY,WATCH,bar,,,,,
